num_incident,accident_type
2010S000642,collision
2010S000643,frontal
2010S000644,frontal
2010S000645,frontal
2010S000646,frontal
2010S000647,run_over
2010S000648,run_over
2010S000649,collision
2010S000650,frontal
2010S000651,frontal
2010S000652,collision
2010S000653,run_over
2010S000654,collision
2010S000655,collision
2010S000656,collision
2010S000657,collision
2010S000658,fall--motorcycle
2010S000659,collision
2010S000660,frontal
2010S000661,frontal
2010S000662,collision
2010S000663,collision
2010S000664,fall--motorcycle
2010S000665,frontal
2010S000666,collision
2010S000667,collision
2010S000668,collision
2010S000669,fall--motorcycle
2010S000670,collision
2010S000671,collision
2010S000672,collision
2010S000673,fall_inside_vehicle
2010S000674,frontal
2010S000675,frontal
2010S000676,collision
2010S000677,collision
2010S000678,collision
2010S000679,collision
2010S000680,collision
2010S000681,collision
2010S000682,crash
2010S000683,collision
2010S000684,collision
2010S000685,collision
2010S000686,fall--motorcycle
2010S000687,run_over
2010S000688,collision
2010S000689,crash
2010S000690,collision
2010S000691,collision
2010S000692,frontal
2010S000693,collision
2010S000694,collision
2010S000695,collision
2010S000696,frontal
2010S000697,collision
2010S000698,collision
2010S000699,collision
2010S000700,run_over
2010S000701,collision
2010S000702,collision
2010S000703,run_over
2010S000704,run_over
2010S000705,run_over
2010S000706,run_over
2010S000707,frontal
2010S000708,fall_inside_vehicle
2010S000709,collision
2010S000710,collision
2010S000711,frontal
2010S000712,frontal
2010S000713,crash
2010S000714,collision
2010S000715,crash
2010S000716,crash
2010S000717,frontal
2010S000718,overturning
2010S000719,collision
2010S000720,collision
2010S000721,run_over
2010S000722,collision
2010S000723,collision
2010S000724,collision
2010S000725,crash
2010S000726,collision
2010S000727,fall--motorcycle
2010S000728,frontal
2010S000729,frontal
2010S000730,run_over
2010S000731,collision
2010S000732,frontal
2010S000733,crash
2010S000734,crash
2010S000735,crash
2010S000736,Other_types
2010S000737,collision
2010S000738,frontal
2010S000739,crash
2010S000740,crash
2010S000741,frontal
2010S000742,collision
2010S000743,fall_inside_vehicle
2010S000744,frontal
2010S000745,frontal
2010S000746,frontal
2010S000747,collision
2010S000748,frontal
2010S000749,collision
2010S000750,frontal
2010S000751,collision
2010S000752,collision
2010S000753,frontal
2010S000754,collision
2010S000755,fall--motorcycle
2010S000756,crash
2010S000757,collision
2010S000758,run_over
2010S000759,collision
2010S000760,collision
2010S000761,collision
2010S000762,collision
2010S000763,run_over
2010S000764,collision
2010S000765,collision
2010S000766,fall--motorcycle
2010S000767,run_over
2010S000768,collision
2010S000769,frontal
2010S000770,crash
2010S000771,frontal
2010S000772,collision
2010S000773,misc_type
2010S000774,collision
2010S000775,crash
2010S000776,collision
2010S000777,frontal
2010S000778,fall--motorcycle
2010S000779,crash
2010S000780,frontal
2010S000781,frontal
2010S000782,crash
2010S000783,collision
2010S000784,collision
2010S000785,frontal
2010S000786,collision
2010S000787,collision
2010S000788,frontal
2010S000789,collision
2010S000790,fall--motorcycle
2010S000791,collision
2010S000792,misc_type
2010S000793,collision
2010S000794,collision
2010S000795,frontal
2010S000796,fall--motorcycle
2010S000797,collision
2010S000798,collision
2010S000799,collision
2010S000800,collision
2010S000801,collision
2010S000802,collision
2010S000803,run_over
2010S000804,collision
2010S000805,collision
2010S000806,frontal
2010S000807,crash
2010S000808,frontal
2010S000809,collision
2010S000810,collision
2010S000811,collision
2010S000812,collision
2010S000813,frontal
2010S000814,fall--motorcycle
2010S000815,collision
2010S000816,run_over
2010S000817,frontal
2010S000818,collision
2010S000819,collision
2010S000820,collision
2010S000821,collision
2010S000822,collision
2010S000823,collision
2010S000824,fall--motorcycle
2010S000825,collision
2010S000826,frontal
2010S000827,frontal
